count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
990168,3,Scotland,3,"Glasgow City",B808,Minor,,,259070,668235,55.88657200,-4.25478700,,
982114,3,Scotland,3,"Glasgow City",U,Minor,,,256985,667916,55.88309300,-4.28792410,,
967608,3,Scotland,3,"Glasgow City",B763,Minor,,,259550,662530,55.83549389,-4.24416309,,
967607,3,Scotland,3,"Glasgow City",U,Minor,,,256666,660192,55.81365400,-4.28893800,,
967606,3,Scotland,3,"Glasgow City",U,Minor,,,255775,664825,55.85498200,-4.30560500,,
967604,3,Scotland,3,"Glasgow City",U,Minor,,,254170,662698,55.83540400,-4.33007840,,
951151,3,Scotland,3,"Glasgow City",U,Minor,,,259265,667175,55.87711200,-4.25112090,,
951133,3,Scotland,3,"Glasgow City",U,Minor,,,254166,668012,55.88310900,-4.33300100,,
941149,3,Scotland,3,"Glasgow City",U,Minor,,,259236,664117,55.84964900,-4.24999560,,
941144,3,Scotland,3,"Glasgow City",U,Minor,,,256730,663289,55.84147700,-4.28955110,,
941138,3,Scotland,3,"Glasgow City",U,Minor,,,255799,666317,55.86838548,-4.30601582,,
931912,3,Scotland,3,"Glasgow City",U,Minor,,,260219,659172,55.80553800,-4.23176270,,
931911,3,Scotland,3,"Glasgow City",U,Minor,,,258330,665740,55.86395500,-4.26530260,,
931874,3,Scotland,3,"Glasgow City",U,Minor,,,263210,665170,55.86024700,-4.18710290,,
931873,3,Scotland,3,"Glasgow City",U,Minor,,,259060,669420,55.89720700,-4.25556410,,
931872,3,Scotland,3,"Glasgow City",U,Minor,,,256900,670430,55.90563700,-4.29061180,,
931871,3,Scotland,3,"Glasgow City",U,Minor,,,252010,671860,55.91699600,-4.36954190,,
931870,3,Scotland,3,"Glasgow City",U,Minor,,,253500,659980,55.81080100,-4.33930090,,
930175,3,Scotland,3,"Glasgow City",B765,Minor,,,265220,665720,55.86575200,-4.15528780,,
811630,3,Scotland,3,"Glasgow City",U,Minor,,,266583,664457,55.85479100,-4.13290310,,
811614,3,Scotland,3,"Glasgow City",U,Minor,,,262521,669210,55.89632300,-4.20015360,,
811537,3,Scotland,3,"Glasgow City",U,Minor,,,254242,670161,55.90242500,-4.33294510,,
811528,3,Scotland,3,"Glasgow City",U,Minor,,,258450,662707,55.83676000,-4.26180390,,
811488,3,Scotland,3,"Glasgow City",C,Minor,,,252855,662121,55.82982500,-4.35074290,,
811487,3,Scotland,3,"Glasgow City",C,Minor,,,251919,672002,55.91824200,-4.37107440,,
811478,3,Scotland,3,"Glasgow City",C,Minor,,,261703,665721,55.86476400,-4.21144170,,
811464,3,Scotland,3,"Glasgow City",C,Minor,,,253008,668799,55.88982200,-4.35192380,,
811458,3,Scotland,3,"Glasgow City",C,Minor,,,258139,661675,55.82740300,-4.26622630,,
811444,3,Scotland,3,"Glasgow City",U,Minor,,,262716,666581,55.87277500,-4.19570410,,
811436,3,Scotland,3,"Glasgow City",U,Minor,,,256966,662831,55.83743500,-4.28554430,,
811435,3,Scotland,3,"Glasgow City",C,Minor,,,259909,664526,55.85351700,-4.23946630,,
811417,3,Scotland,3,"Glasgow City",C,Minor,,,264729,665270,55.86157400,-4.16290290,,
811381,3,Scotland,3,"Glasgow City",U,Minor,,,268637,667313,55.88099900,-4.10150050,,
811355,3,Scotland,3,"Glasgow City",U,Minor,,,259806,660056,55.81335500,-4.23880220,,
811345,3,Scotland,3,"Glasgow City",C,Minor,,,262071,664411,55.85310800,-4.20489970,,
811332,3,Scotland,3,"Glasgow City",C,Minor,,,255170,667191,55.87604200,-4.31652580,,
811300,3,Scotland,3,"Glasgow City",C,Minor,,,256753,666150,55.86716900,-4.29069550,,
811289,3,Scotland,3,"Glasgow City",C,Minor,,,255535,663684,55.84466700,-4.30882790,,
811253,3,Scotland,3,"Glasgow City",U,Minor,,,264155,664121,55.85109600,-4.17149100,,
804882,3,Scotland,3,"Glasgow City",C,Minor,,,253805,662585,55.83427900,-4.33584010,,
804853,3,Scotland,3,"Glasgow City",B773,Minor,,,252436,659645,55.80746900,-4.35608150,,
804826,3,Scotland,3,"Glasgow City",U,Minor,,,258968,659475,55.80789500,-4.25186220,,
804797,3,Scotland,3,"Glasgow City",C,Minor,,,254563,665877,55.86406200,-4.32551360,,
804776,3,Scotland,3,"Glasgow City",U,Minor,,,261266,663404,55.84383600,-4.21723330,,
804725,3,Scotland,3,"Glasgow City",U,Minor,,,262347,665123,55.85957900,-4.20085600,,
804713,3,Scotland,3,"Glasgow City",C,Minor,,,262536,664349,55.85268400,-4.19744640,,
804683,3,Scotland,3,"Glasgow City",U,Minor,,,256115,664667,55.85366500,-4.30009450,,
804670,3,Scotland,3,"Glasgow City",U,Minor,,,263209,668459,55.88977600,-4.18878030,,
804662,3,Scotland,3,"Glasgow City",B763,Minor,,,258237,662843,55.83791800,-4.26527310,,
804654,3,Scotland,3,"Glasgow City",U,Minor,,,261118,666424,55.87090700,-4.22114210,,
91282,3,Scotland,3,"Glasgow City",M74,Major,A74,A763,266314,662205,55.83449600,-4.13608740,2.90,1.80
91186,3,Scotland,3,"Glasgow City",A8,Major,"Junction A89 Main Street, A8 Glasgow and Edinburgh Road and Ravenswood Road","Roundabout with A8 Glasgow and Edinburgh Road and A89 and Rhindhouse Road (minor road)",268551,664141,55.85249400,-4.10133520,0.60,0.37
91185,3,Scotland,3,"Glasgow City",A8,Major,"Roundabout with A8 Glasgow and Edinburgh Road and A89 and Rhindhouse Road (minor road)","M73 Junction 2",268989,664149,55.85268500,-4.09434770,1.30,0.81
91184,3,Scotland,3,"Glasgow City",A89,Major,"Roundabout with A8 Glasgow and Edinburgh Road and A89 and Rhindhouse Road (minor road)","LA Boundary with North Lanarkshire and Glasgow City",268835,664257,55.85361300,-4.09685810,0.70,0.43
91139,3,Scotland,3,"Glasgow City",A8,Major,"LA Boundary with Renfrewshire and Glasgow City","Roundabout with A739 and A8",253192,665410,55.85945400,-4.34714730,1.30,0.81
89370,3,Scotland,3,"Glasgow City",M77,Major,M77,B768,255688,663276,55.84105000,-4.30616950,0.30,0.19
88084,3,Scotland,3,"Glasgow City",M8,Major,"A8 (West Street)",M8,257943,664604,55.85364200,-4.27088570,0.50,0.31
83061,3,Scotland,3,"Glasgow City",A730,Major,"A728 Polmadie Road","A728 Cathcart Road",259444,663536,55.84449300,-4.24637510,1.60,0.99
83060,3,Scotland,3,"Glasgow City",A730,Major,"LA Boundary","A728 Polmadie Road",260055,662795,55.83801800,-4.23624310,0.50,0.31
83059,3,Scotland,3,"Glasgow City",A728,Major,"M74 Sliproad north of motorway",A730,259837,662849,55.83844136,-4.23974916,0.10,0.06
83058,3,Scotland,3,"Glasgow City",A728,Major,"M74Slip road south of motorway","M74 Sliproad north of motorway",259780,662785,55.83785020,-4.24062551,0.10,0.06
83057,3,Scotland,3,"Glasgow City",A728,Major,"A728 Aikenhead Road","M74 Slip road south of motorway",259555,662530,55.83549534,-4.24408332,0.80,0.50
83056,3,Scotland,3,"Glasgow City",A728,Major,"A728 Polmadie Road","A730 Caledonia Road",258970,663052,55.84001000,-4.25368720,1.80,1.12
83055,3,Scotland,3,"Glasgow City",A728,Major,"B768 Prospecthill Road","A728 Polmadie Road",259285,661905,55.82980400,-4.24806680,0.40,0.25
83054,3,Scotland,3,"Glasgow City",A8,Major,M8,"A8 Morrison St",257914,664631,55.85387600,-4.27136270,0.20,0.12
83053,3,Scotland,3,"Glasgow City",A8,Major,A761,M8,256997,664521,55.85261700,-4.28594040,1.80,1.12
83012,3,Scotland,3,"Glasgow City",A728,Major,A730,A749,260520,662986,55.83986800,-4.22892240,1.10,0.68
82106,3,Scotland,3,"Glasgow City",A8,Major,"South Portland Street","Bridge Street/Eglinton Street",258790,664451,55.85251700,-4.25728730,0.10,0.06
82105,3,Scotland,3,"Glasgow City",A8,Major,"Bridge Street","Commerce Street",258645,664490,55.85282500,-4.25962180,0.10,0.06
82104,3,Scotland,3,"Glasgow City",A8,Major,"Commerce Street","Tradeston Street",258545,664514,55.85301100,-4.26123040,0.20,0.12
82103,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","Paterson Street",258307,664571,55.85345300,-4.26505870,0.20,0.12
82102,3,Scotland,3,"Glasgow City",A8,Major,"Paterson Street","Camoustie Street",258127,664614,55.85378600,-4.26795410,0.20,0.12
82101,3,Scotland,3,"Glasgow City",A8,Major,"Norfolk Street","Bridge Street/Oxford Street",258838,664526,55.85320500,-4.25656020,0.20,0.12
82100,3,Scotland,3,"Glasgow City",A8,Major,"Bridge Street","Commerce Street",258663,664601,55.85382700,-4.25939240,0.10,0.06
82099,3,Scotland,3,"Glasgow City",A8,Major,"Commerce Street","Tradeston Street",258500,664639,55.85412000,-4.26201380,0.20,0.12
82098,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","West Street",258312,664340,55.85138000,-4.26485820,0.10,0.06
82097,3,Scotland,3,"Glasgow City",A8,Major,"Cook Street","Wallace Street",258363,664364,55.85161100,-4.26405680,0.10,0.06
82096,3,Scotland,3,"Glasgow City",A8,Major,"Cook Street","Wallace Street",258282,664383,55.85175800,-4.26535950,0.10,0.06
82095,3,Scotland,3,"Glasgow City",A8,Major,"Wallace Street","Nelson Street",258397,664500,55.85284200,-4.26358520,0.10,0.06
82094,3,Scotland,3,"Glasgow City",A8,Major,"Nelson Street","Kingston Street",258416,664583,55.85359300,-4.26332530,0.10,0.06
82093,3,Scotland,3,"Glasgow City",A77,Major,"Cook Street/Bedford Street","Wallace Street/Coburg Street",258652,664329,55.85138100,-4.25942620,0.10,0.06
82092,3,Scotland,3,"Glasgow City",A77,Major,"Wallace Street/Coburg Street","Norfolk Street",258677,664428,55.85227800,-4.25907880,0.10,0.06
82091,3,Scotland,3,"Glasgow City",A77,Major,"Norfolk Street","Oxford Street",258703,664535,55.85324600,-4.25871960,0.10,0.06
82090,3,Scotland,3,"Glasgow City",A77,Major,"Oxford Street","Broomielaw/Clyde Street",258753,664743,55.85512800,-4.25802990,0.30,0.19
82089,3,Scotland,3,"Glasgow City",A77,Major,"Nelson Street","Kingston Street",258605,664551,55.85336100,-4.26029210,0.10,0.06
82088,3,Scotland,3,"Glasgow City",A77,Major,"Kingston Street",Broomielaw,258639,664693,55.85464600,-4.25982340,0.30,0.19
82087,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","West Street",258323,664453,55.85239800,-4.26474170,0.10,0.06
82086,3,Scotland,3,"Glasgow City",A8,Major,"Eglinton Street","Tradeston Street",258486,664299,55.85106300,-4.26205990,0.30,0.19
82085,3,Scotland,3,"Glasgow City",A8,Major,"Eglinton Street","Tradeston Street",258610,664383,55.85185400,-4.26012470,0.30,0.19
82084,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","Camoustie Street",258318,664668,55.85432700,-4.26493390,0.40,0.25
82083,3,Scotland,3,"Glasgow City",M8,Major,"A8 (West Street)",M8,258241,664429,55.85215900,-4.26603790,0.50,0.31
82082,3,Scotland,3,"Glasgow City",M8,Major,"A8 (West Street)",M8,258204,664383,55.85173613,-4.26660446,0.50,0.31
82081,3,Scotland,3,"Glasgow City",A8,Major,M8,"Morrison Street",258072,664515,55.85288100,-4.26878020,0.40,0.25
82079,3,Scotland,3,"Glasgow City",A728,Major,"B763 Dunn Street",A749,261772,664080,55.85005000,-4.20950340,0.70,0.43
82078,3,Scotland,3,"Glasgow City",A728,Major,A749,A74,261427,663440,55.84420500,-4.21468260,0.80,0.50
82077,3,Scotland,3,"Glasgow City",A74,Major,"B763 Dunn Street",A749,261000,664000,55.84911000,-4.22178320,1.10,0.68
82076,3,Scotland,3,"Glasgow City",A74,Major,"Fullarton Road roundabout","B763 Dunn Street",262500,663700,55.84684700,-4.19769200,2.90,1.80
82075,3,Scotland,3,"Glasgow City",A89,Major,"B763 Millerston Street","B765 Killin St",263000,664420,55.85345400,-4.19007630,3.00,1.86
82074,3,Scotland,3,"Glasgow City",A89,Major,A8,A728,260500,664770,55.85587900,-4.23015890,2.30,1.43
82047,3,Scotland,3,"Glasgow City",M8,Major,M8,M74,256000,664200,55.84943900,-4.30168200,1.00,0.62
82046,3,Scotland,3,"Glasgow City",M77,Major,M77,M8,256247,664120,55.84879400,-4.29769780,0.70,0.43
82045,3,Scotland,3,"Glasgow City",M8,Major,M74,"Seaward Street",257381,664134,55.84925600,-4.27960830,0.40,0.25
82044,3,Scotland,3,"Glasgow City",M8,Major,M74,"Seaward Street",257361,664228,55.85009400,-4.27997690,0.40,0.25
82043,3,Scotland,3,"Glasgow City",M8,Major,"Seaward Street",A8,257875,664322,55.85109000,-4.27182320,0.90,0.56
82042,3,Scotland,3,"Glasgow City",M8,Major,"Seaward Street",A8,257833,664467,55.85238000,-4.27256950,1.00,0.62
82041,3,Scotland,3,"Glasgow City",M77,Major,B768,M77,255667,663213,55.84047800,-4.30647110,0.50,0.31
82040,3,Scotland,3,"Glasgow City",M8,Major,M74/M77/M8,A8,257380,664190,55.84975900,-4.27965370,1.40,0.87
82039,3,Scotland,3,"Glasgow City",M8,Major,M74/M77/M8,"Seaward Street",256946,664204,55.84975600,-4.28658720,0.30,0.19
82038,3,Scotland,3,"Glasgow City",M77,Major,M74/M77/M8,M8,256247,664120,55.84879400,-4.29769780,0.70,0.43
82037,3,Scotland,3,"Glasgow City",M77,Major,B768,M74/M77/M8,256115,663722,55.84518200,-4.29959320,0.70,0.43
82036,3,Scotland,3,"Glasgow City",M77,Major,M77,B768,255576,663254,55.84081900,-4.30794480,0.40,0.25
82035,3,Scotland,3,"Glasgow City",M74,Major,M74,A8,258250,664245,55.85050900,-4.26579810,0.50,0.31
82034,3,Scotland,3,"Glasgow City",M74,Major,M74,A8,258098,664261,55.85060800,-4.26823230,0.40,0.25
82033,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,M74,259630,662881,55.83866700,-4.24306820,0.50,0.31
82032,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,M74,259604,662829,55.83819300,-4.24345620,0.40,0.25
82031,3,Scotland,3,"Glasgow City",M74,Major,M74,A730/B763,259862,662687,55.83699300,-4.23926660,0.40,0.25
82030,3,Scotland,3,"Glasgow City",M74,Major,M74,A730/B763,259938,662713,55.83724800,-4.23806750,0.40,0.25
82025,3,Scotland,3,"Glasgow City",M74,Major,A74,M74,263932,662490,55.83638900,-4.17423230,0.50,0.31
82024,3,Scotland,3,"Glasgow City",M74,Major,A74,M74,263956,662403,55.83561500,-4.17380570,0.40,0.25
82023,3,Scotland,3,"Glasgow City",M74,Major,M74,A74,264214,662382,55.83549900,-4.16967900,0.40,0.25
82022,3,Scotland,3,"Glasgow City",M74,Major,M74,A74,264276,662296,55.83474400,-4.16864690,0.50,0.31
82021,3,Scotland,3,"Glasgow City",M74,Major,M74,A763,264987,662324,55.83519500,-4.15731750,0.30,0.19
82020,3,Scotland,3,"Glasgow City",M74,Major,M74,A763,264985,662383,55.83572400,-4.15737870,0.40,0.25
82019,3,Scotland,3,"Glasgow City",M74,Major,A8,"Seaward Street",258016,664319,55.85110500,-4.26957130,1.30,0.81
82018,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,A8,258762,663474,55.84373800,-4.25722550,1.60,0.99
82017,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,A730/B763,259851,662738,55.83744700,-4.23946840,0.90,0.56
82016,3,Scotland,3,"Glasgow City",M74,Major,A724,A730/B763,260176,662450,55.83495600,-4.23413490,0.20,0.12
82011,3,Scotland,3,"Glasgow City",M74,Major,A74,A74,264081,662392,55.83555100,-4.17180600,0.90,0.56
82010,3,Scotland,3,"Glasgow City",M74,Major,A763,A74,264707,662311,55.83500000,-4.16177820,0.60,0.37
82009,3,Scotland,3,"Glasgow City",M74,Major,A74,A763,266314,662205,55.83449600,-4.13608740,2.60,1.62
81521,3,Scotland,3,"Glasgow City",A814,Major,M8/A804,"A814 Bromielaw",258239,665218,55.85924100,-4.26648240,0.70,0.43
81005,3,Scotland,3,"Glasgow City",A8,Major,M8,"TRADESTON STREET",258140,664380,55.85169036,-4.26762432,0.40,0.25
81004,3,Scotland,3,"Glasgow City",A77,Major,A77,A77,258370,663330,55.84233000,-4.26340530,1.60,0.99
81003,3,Scotland,3,"Glasgow City",A77,Major,A8,A814,258740,664700,55.85473947,-4.25821508,0.30,0.19
81002,3,Scotland,3,"Glasgow City",A77,Major,A814,A77,258640,664720,55.85488971,-4.25982162,0.30,0.19
81001,3,Scotland,3,"Glasgow City",A77,Major,A77,A77,258680,664440,55.85238763,-4.25903725,0.20,0.12
